iso3,k_labor_share,self_employment,owner_occupied_share_of_value_added,real_est_k_to_va_shares_ratio
QAT,,0.00394136729696868,0.008284263501962935,3.705328168012808
ROU,0.5185551011219358,0.227960963680757,0.07552940076959289,3.705328168012808
RUS,0.4239136815784969,0.0658473099479725,0.08473331132869957,3.705328168012808
RWA,0.28759251007859865,0.412547595958113,0.04303357030172615,3.705328168012808
SAU,0.3585790244994915,0.0682936588687713,0.039059661719199855,3.705328168012808
SDN,0.5774520153450563,0.465210501982334,0.04333341935873191,3.705328168012808
SEN,0.44857626900714576,0.695743915796617,0.06019988393771811,3.705328168012808
SGP,0.5553853647044478,0.133185720796558,0.05877803582129431,3.705328168012808
SLB,,0.64377349612779,0.04511878484642958,3.705328168012808
SLE,0.382645033367664,0.894643625081441,0.04333341935873191,3.705328168012808
SLV,0.5585638014627742,0.363436068453801,0.050735042286242996,3.705328168012808
SMR,,,0.037090176580167895,3.705328168012808
SOM,,0.5134821251987041,0.04333341935873191,3.705328168012808
SPM,,,,3.705328168012808
SRB,0.5387901553358313,0.270549284494911,0.0793107982213091,3.705328168012808
SSD,0.23771840015624188,0.7213927456581889,0.04333341935873191,3.705328168012808
STP,0.20923003371728768,0.430085716155205,0.03789353338617056,3.705328168012808
SUR,0.7169036243686266,0.23068441668203998,0.01942698280373769,3.705328168012808
SVK,0.3956833583077393,0.151259665024365,0.1057950492728843,3.705328168012808
SVN,0.5533046581254689,0.142623818109898,0.0577374741824145,3.705328168012808
SWE,0.5714581376738219,0.106539779128754,0.04878694761237784,3.705328168012808
SWZ,0.39215033813664424,0.34859791499088094,0.0385385778508665,3.705328168012808
SXM,,,0.035149457095376584,3.705328168012808
SYC,0.35134246493893445,,0.08356407946838824,3.705328168012808
SYR,0.27333320122257476,0.34480858389006996,0.04333341935873191,3.705328168012808
TCD,0.5140652926498319,0.911674668000304,0.04581768666036926,3.705328168012808
TGO,0.2540635809283912,0.82134622118878,0.05734456171286325,3.705328168012808
THA,0.606195924233669,0.521002898965247,0.019846773615394525,3.705328168012808
TJK,0.40474446406956777,0.269973206281708,0.0009007085242650437,3.705328168012808
TKM,,0.315349047802583,0.054230026607118335,3.705328168012808
TLS,,0.742489646411037,0.05942207732613887,3.705328168012808
TON,,0.511598800826615,0.09758779671258296,3.705328168012808
TTO,,0.259847991503608,0.01144318050380994,3.705328168012808
TUN,0.5098270326959128,0.25496368342833997,0.04511878484642958,3.705328168012808
TUR,0.7303848968849216,0.285985075058983,0.024367017845210618,3.705328168012808
TUV,,,0.05595984335247381,3.705328168012808
TWN,0.4519449160290969,,0.06367613499735653,3.705328168012808
TZA,0.5707539047130668,0.855185101977619,0.024608428971162277,3.705328168012808
UGA,0.5444609929892444,0.814395150430606,0.05123503554496229,3.705328168012808
UKR,0.616324478483218,0.192720230501339,0.04506238860392384,3.705328168012808
URY,0.42758514716966234,0.293526339692597,0.06667021763374294,3.705328168012808
USA,0.44904435141325416,0.0608221746093672,0.07926872145347895,3.705328168012808
UZB,0.4536384826054496,0.458801686625166,0.0437567024926934,3.705328168012808
VCT,0.3428238850350327,0.25621738517229997,0.08789062961461114,3.705328168012808
VEN,0.1730760877275581,0.405515217805686,0.05411407232855191,3.705328168012808
VGB,,,0.06447143031495214,3.705328168012808
VIR,,0.111169791391603,0.06367613499735653,3.705328168012808
VNM,0.572961282605188,0.529734970766804,0.034240304674291004,3.705328168012808
VUT,,0.6017393050080301,0.05273567977287114,3.705328168012808
WSM,,0.44657830178316404,0.07025103162094085,3.705328168012808
XKX,,,0.06798697480500196,3.705328168012808
YEM,0.44458139841066746,0.538032336535163,0.04333341935873191,3.705328168012808
ZAF,0.62587801626576,0.163133948389721,0.037268022590415756,3.705328168012808
ZMB,0.7172299018625043,0.7380312038886799,0.020941869223771777,3.705328168012808
ZWE,0.6798598629698297,0.714928607252313,0.023803493722790482,3.705328168012808
