"ref_area.label","indicator.label","source.label","time","obs_value","obs_status.label"
"Western Sahara","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.778,"Imputation"
"Spain","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.089,
"Estonia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.369,"Imputation"
"Ethiopia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.49,"Imputation"
"Finland","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.477,
"Fiji","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.786,"Imputation"
"France","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.778,
"Gabon","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",26.804,"Imputation"
"United Kingdom of Great Britain and Northern Ireland","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.043,
"Georgia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.977,"Imputation"
"Ghana","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.444,"Imputation"
"Guinea","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.432,"Imputation"
"Gambia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.411,"Imputation"
"Guinea-Bissau","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.752,"Imputation"
"Equatorial Guinea","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.02,"Imputation"
"Greece","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.123,
"Guatemala","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.659,
"Guam","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.542,"Imputation"
"Guyana","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.33,"Imputation"
"Hong Kong, China","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.527,"Imputation"
"Honduras","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.195,
"Croatia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.373,
"Haiti","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.553,"Imputation"
"Hungary","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.131,"Imputation"
"Indonesia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.559,"Model-based extrapolation"
"India","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.893,
"Ireland","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",30.615,
"Iran (Islamic Republic of)","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.788,"Imputation"
"Iraq","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.344,"Imputation"
"Iceland","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",62.029,
"Israel","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.241,"Imputation"
"Italy","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.039,
"Jamaica","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.714,"Model-based extrapolation"
"Jordan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.899,"Model-based extrapolation"
"Japan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.329,
"Kazakhstan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.551,"Imputation"
"Kenya","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",36.021,
"Kyrgyzstan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",33.655,"Imputation"
"Cambodia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.314,"Imputation"
"Republic of Korea","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.754,"Imputation"
"Kuwait","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.727,"Imputation"
"Lao People's Democratic Republic","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",45.286,"Imputation"
"Lebanon","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.677,"Imputation"
"Liberia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.845,"Imputation"
"Libya","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.487,"Imputation"
"Saint Lucia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.712,"Imputation"
"Sri Lanka","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.238,
"Lesotho","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.22,
"Lithuania","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.547,
"Luxembourg","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.78,
"Latvia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.339,
"Macao, China","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",29.794,"Imputation"
"Morocco","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.847,"Imputation"
"Republic of Moldova","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.991,"Model-based extrapolation"
"Madagascar","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.831,"Imputation"
"Maldives","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.679,"Imputation"
"Mexico","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35.458,
"North Macedonia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.454,"Imputation"
"Mali","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.02,"Model-based extrapolation"
"Malta","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.137,"Imputation"
"Myanmar","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.096,"Imputation"
"Montenegro","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.495,"Imputation"
"Mongolia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",34.449,
"Mozambique","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.03,"Imputation"
"Mauritania","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.267,"Model-based extrapolation"
"Mauritius","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.796,
"Malawi","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",36.218,"Imputation"
"Malaysia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.582,"Imputation"
"Namibia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.738,
"New Caledonia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.12,"Imputation"
"Niger","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",27.259,"Model-based extrapolation"
"Nigeria","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",73.17,"Imputation"
"Nicaragua","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.903,
"Netherlands","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",62.497,
"Norway","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.526,
"Nepal","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.085,
"New Zealand","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.391,"Imputation"
"Oman","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.343,"Imputation"
"Pakistan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.168,"Imputation"
"Panama","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",36.897,
"Peru","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.992,
"Philippines","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.215,
"Papua New Guinea","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",32.693,"Imputation"
"Poland","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.278,
"Puerto Rico","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.635,"Imputation"
"Korea (the Democratic People's Republic of)","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.802,"Imputation"
"Portugal","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.792,
"Paraguay","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.397,
"Occupied Palestinian Territory","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.995,"Imputation"
"French Polynesia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.914,"Imputation"
"Qatar","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",27.395,"Imputation"
"Romania","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.422,
"Russian Federation","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.222,"Imputation"
"Rwanda","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",38.146,"Imputation"
"Saudi Arabia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",30.128,"Imputation"
"Sudan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.471,"Imputation"
"Senegal","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.665,
"Singapore","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.305,"Imputation"
"Solomon Islands","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.357,"Imputation"
"Sierra Leone","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.393,
"El Salvador","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.293,
"Somalia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35.068,"Imputation"
"Serbia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.329,
"South Sudan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.5,"Imputation"
"Sao Tome and Principe","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.436,"Imputation"
"Suriname","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.323,"Imputation"
"Slovakia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.305,
"Slovenia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.841,
"Sweden","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.655,
"Eswatini","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.572,"Imputation"
"Syrian Arab Republic","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",34.848,"Imputation"
"Chad","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.012,"Imputation"
"Togo","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",36.761,"Imputation"
"Thailand","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.616,
"Tajikistan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",17.866,
"Turkmenistan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.815,"Imputation"
"Timor-Leste","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",19.538,
"Tonga","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.84,"Imputation"
"Trinidad and Tobago","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.838,"Model-based extrapolation"
"Tunisia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",48.785,
"Türkiye","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",32.205,
"Taiwan, China","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.856,"Imputation"
"Tanzania, United Republic of","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.902,
"Uganda","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.257,"Imputation"
"Ukraine","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",48.556,"Imputation"
"Uruguay","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.393,"Model-based extrapolation"
"United States of America","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.824,"Imputation"
"Uzbekistan","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",46.069,"Imputation"
"Saint Vincent and the Grenadines","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.492,"Imputation"
"Venezuela (Bolivarian Republic of)","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",10.11,"Model-based extrapolation"
"United States Virgin Islands","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.138,"Imputation"
"Viet Nam","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.521,"Imputation"
"Vanuatu","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.654,"Model-based extrapolation"
"Samoa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.102,"Imputation"
"World","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.7,
"World: Low income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.2,
"World: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.1,
"World: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.7,
"World: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.2,
"Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.9,
"Africa: Low income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.8,
"Africa: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",48.4,
"Africa: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54,
"Northern Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.7,
"Northern Africa: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41,
"Sub-Saharan Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.3,
"Sub-Saharan Africa: Low income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.2,
"Sub-Saharan Africa: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.4,
