any,wb_name
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guam,Guam
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guinea Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,"Iran, Islamic Rep."
"Iran, Islamic Republic of","Iran, Islamic Rep."
"Iran, Islamic Republic","Iran, Islamic Rep."
"Iran, Islamic Rep.","Iran, Islamic Rep."
"Iran, Islamic Rep of","Iran, Islamic Rep."
Iran (Islamic Republic of),"Iran, Islamic Rep."
Iran (Islamic Rep.),"Iran, Islamic Rep."
Iraq,Iraq
Ireland,Ireland
Isle of Man,Isle of Man
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
"Korea, Democratic People's Republic of","Korea, Dem. Rep."
Democratic People's Republic of Korea,"Korea, Dem. Rep."
North Korea,"Korea, Dem. Rep."
Kosovo,Kosovo
"Korea, Republic of","Korea, Rep."
"Korea, Rep of","Korea, Rep."
Republic of Korea,"Korea, Rep."
"Korea, Rep.","Korea, Rep."
South Korea,"Korea, Rep."
Kuwait,Kuwait
Kyrgyzstan,Kyrgyz Republic
Kyrgyz Republic,Kyrgyz Republic
Laos,Lao PDR
Lao PDR,Lao PDR
Lao People's Democratic Republic,Lao PDR
Lao P. D. Republic,Lao PDR
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Libyan Arab Jamahiriya,Libya
Libyan Arab Jam.,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
The former Yugoslav Republic of Macedonia,"Macedonia, FYR"
The f. Yugoslav Rep. of Macedonia,"Macedonia, FYR"
The Former Yugoslav Republic  of Macedonia,"Macedonia, FYR"
"Macedonia, the former Yugoslav Republic of","Macedonia, FYR"
"Macedonia, FYR","Macedonia, FYR"
"Macedonia, Republic of","Macedonia, FYR"
Macedonia,"Macedonia, FYR"
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
"Micronesia, Federated States of","Micronesia, Fed. Sts."
Federated States of Micronesia,"Micronesia, Fed. Sts."
"Micronesia, Fed. Sts.","Micronesia, Fed. Sts."
"Micronesia, Fed States of","Micronesia, Fed. Sts."
Micronesia,"Micronesia, Fed. Sts."
Micronesia (Federated States of),"Micronesia, Fed. Sts."
Moldova,Moldova
Rep. of Moldova,Moldova
"Moldova, Republic of",Moldova
Republic of Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
"Netherlands, the",Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Northern Mariana Islands,Northern Mariana Islands
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
"Palestinian Territory, Occupied",West Bank and Gaza
"Palestine, State of",West Bank and Gaza
State of Palestine,West Bank and Gaza
West Bank and Gaza,West Bank and Gaza
Panama,Panama
Papua New Guinea,Papua New Guinea
Papua N. Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Reunion,Reunion
Romania,Romania
Russian Federation,Russian Federation
Russia,Russian Federation
Rwanda,Rwanda
Saint Kitts and Nevis,St. Kitts and Nevis
St. Kitts and Nevis,St. Kitts and Nevis
Saint Lucia,St. Lucia
St. Lucia,St. Lucia
Saint-Martin (French part),St. Martin (French part)
Saint Martin,St. Martin (French part)
Saint Vincent and Grenadines,St. Vincent and the Grenadines
Saint Vincent and the Grenadines,St. Vincent and the Grenadines
St. Vincent and the Grenadines,St. Vincent and the Grenadines
St Vincent and the Grenadines,St. Vincent and the Grenadines
Samoa,Samoa
Western Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Republic of Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovak Republic
Slovak Republic,Slovak Republic
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
S. Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic (Syria),Syrian Arab Republic
Syrian Arab Rep.,Syrian Arab Republic
Syria,Syrian Arab Republic
Syrian Arab Republic,Syrian Arab Republic
"Taiwan, Republic of China",Taiwan
Taiwan,Taiwan
Tajikistan,Tajikistan
"Tanzania, United Republic of",Tanzania
United Republic of Tanzania,Tanzania
"Tanzania, United Rep of",Tanzania
"Tanzania, United Rep.",Tanzania
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
East Timor,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United Kingdom of Great Britain and Northern Ireland,United Kingdom
United States of America,United States
United States,United States
USA,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela (Bolivarian Republic of),"Venezuela, RB"
"Venezuela, Bolivarian Republic of","Venezuela, RB"
"Venezuela, RB","Venezuela, RB"
Venezuela,"Venezuela, RB"
Viet Nam,Vietnam
Vietnam,Vietnam
"Virgin Islands, US",Virgin Islands (U.S.)
United States Virgin Islands,Virgin Islands (U.S.)
"Virgin Islands, U.S.",Virgin Islands (U.S.)
Yemen,"Yemen, Rep."
"Yemen, Rep.","Yemen, Rep."
Zambia,Zambia
Zimbabwe,Zimbabwe
Côte d'Ivoire,Cote d'Ivoire
Côte d’Ivoire,Cote d'Ivoire
D.R. of the Congo,"Congo, Dem. Rep."
"China, Hong Kong SAR","Hong Kong SAR, China"
Lao People's DR,Lao PDR
"China, Macao SAR","Macao SAR, China"
North Macedonia,"Macedonia, FYR"
Eswatini,Swaziland
U.R. of Tanzania: Mainland,Tanzania
"Taiwan, China",Taiwan
Czechia,Czech Republic
Turkiye,Turkey
afghanistan,Afghanistan
albania,Albania
algeria,Algeria
AmericanSamoa,American Samoa
american samoa,American Samoa
americansamoa,American Samoa
andorra,Andorra
angola,Angola
anguilla,Anguilla
AntiguaandBarbuda,Antigua and Barbuda
antigua and barbuda,Antigua and Barbuda
antiguaandbarbuda,Antigua and Barbuda
argentina,Argentina
armenia,Armenia
aruba,Aruba
australia,Australia
austria,Austria
azerbaijan,Azerbaijan
bahamas,"Bahamas, The"
TheBahamas,"Bahamas, The"
the bahamas,"Bahamas, The"
thebahamas,"Bahamas, The"
"Bahamas,The","Bahamas, The"
"bahamas, the","Bahamas, The"
"bahamas,the","Bahamas, The"
"Bahamas,the","Bahamas, The"
bahrain,Bahrain
bangladesh,Bangladesh
barbados,Barbados
belarus,Belarus
belgium,Belgium
belize,Belize
benin,Benin
bermuda,Bermuda
bhutan,Bhutan
bolivia,Bolivia
Bolivia(PlurinationalStateof),Bolivia
bolivia (plurinational state of),Bolivia
bolivia(plurinationalstateof),Bolivia
bosniaandherzegovina,Bosnia and Herzegovina
bosnia and herzegovina,Bosnia and Herzegovina
Bosniaa.Herzegov.,Bosnia and Herzegovina
bosnia a.herzegov.,Bosnia and Herzegovina
bosniaa.herzegov.,Bosnia and Herzegovina
botswana,Botswana
brazil,Brazil
BritishVirginIslands,"Virgin Islands, British"
british virgin islands,"Virgin Islands, British"
britishvirginislands,"Virgin Islands, British"
"VirginIslands,British","Virgin Islands, British"
"virgin islands, british","Virgin Islands, British"
"virginislands,british","Virgin Islands, British"
BruneiDarussalam,Brunei Darussalam
brunei darussalam,Brunei Darussalam
bruneidarussalam,Brunei Darussalam
brunei,Brunei Darussalam
bulgaria,Bulgaria
BurkinaFaso,Burkina Faso
burkina faso,Burkina Faso
burkinafaso,Burkina Faso
burundi,Burundi
cambodia,Cambodia
cameroon,Cameroon
canada,Canada
CapeVerde,Cape Verde
cape verde,Cape Verde
capeverde,Cape Verde
CaboVerde,Cape Verde
cabo verde,Cape Verde
caboverde,Cape Verde
CaymanIslands,Cayman Islands
cayman islands,Cayman Islands
caymanislands,Cayman Islands
CentralAfricanRepublic,Central African Republic
central african republic,Central African Republic
centralafricanrepublic,Central African Republic
Centr.Afr.Republic,Central African Republic
centr. afr. republic,Central African Republic
centr.afr.republic,Central African Republic
chad,Chad
chile,Chile
china,China
"HongKong,SpecialAdministrativeRegionofChina","Hong Kong SAR, China"
"hong kong, special administrative region of china","Hong Kong SAR, China"
"hongkong,specialadministrativeregionofchina","Hong Kong SAR, China"
HongKongS.A.R.,"Hong Kong SAR, China"
hong kong s.a.r.,"Hong Kong SAR, China"
hongkongs.a.r.,"Hong Kong SAR, China"
"HongKongSAR,China","Hong Kong SAR, China"
"hong kong sar, china","Hong Kong SAR, China"
"hongkongsar,china","Hong Kong SAR, China"
HongKong,"Hong Kong SAR, China"
hong kong,"Hong Kong SAR, China"
hongkong,"Hong Kong SAR, China"
HongKong(China),"Hong Kong SAR, China"
hong kong (china),"Hong Kong SAR, China"
hongkong(china),"Hong Kong SAR, China"
"China,HongKongSpecialAdministrativeRegion","Hong Kong SAR, China"
"china, hong kong special administrative region","Hong Kong SAR, China"
"china,hongkongspecialadministrativeregion","Hong Kong SAR, China"
"Macao,SpecialAdministrativeRegionofChina","Macao SAR, China"
"macao, special administrative region of china","Macao SAR, China"
"macao,specialadministrativeregionofchina","Macao SAR, China"
"MacaoSAR,China","Macao SAR, China"
"macao sar, china","Macao SAR, China"
"macaosar,china","Macao SAR, China"
MacauS.A.R,"Macao SAR, China"
macau s.a.r,"Macao SAR, China"
macaus.a.r,"Macao SAR, China"
macau,"Macao SAR, China"
macao,"Macao SAR, China"
"China,MacaoSpecialAdministrativeRegion","Macao SAR, China"
"china, macao special administrative region","Macao SAR, China"
"china,macaospecialadministrativeregion","Macao SAR, China"
colombia,Colombia
comoros,Comoros
Congo(Brazzaville),"Congo, Rep."
congo (brazzaville),"Congo, Rep."
congo(brazzaville),"Congo, Rep."
congo,"Congo, Rep."
RepublicoftheCongo,"Congo, Rep."
republic of the congo,"Congo, Rep."
republicofthecongo,"Congo, Rep."
"Congo,Rep.","Congo, Rep."
"congo, rep.","Congo, Rep."
"congo,rep.","Congo, Rep."
RepublicofCongo,"Congo, Rep."
republic of congo,"Congo, Rep."
republicofcongo,"Congo, Rep."
"Congo,DemocraticRepublicofthe","Congo, Dem. Rep."
"congo, democratic republic of the","Congo, Dem. Rep."
"congo,democraticrepublicofthe","Congo, Dem. Rep."
"Congo,theDemocraticRepublicofthe","Congo, Dem. Rep."
"congo, the democratic republic of the","Congo, Dem. Rep."
"congo,thedemocraticrepublicofthe","Congo, Dem. Rep."
DemocraticRepublicoftheCongo,"Congo, Dem. Rep."
democratic republic of the congo,"Congo, Dem. Rep."
democraticrepublicofthecongo,"Congo, Dem. Rep."
"Congo,DemocraticRepublicof","Congo, Dem. Rep."
"congo, democratic republic of","Congo, Dem. Rep."
"congo,democraticrepublicof","Congo, Dem. Rep."
"Congo,Dem.Rep.","Congo, Dem. Rep."
"congo, dem. rep.","Congo, Dem. Rep."
"congo,dem.rep.","Congo, Dem. Rep."
"Congo,DemRepofthe","Congo, Dem. Rep."
"congo, dem rep of the","Congo, Dem. Rep."
"congo,demrepofthe","Congo, Dem. Rep."
CookIslands,Cook Islands
cook islands ,Cook Islands
cookislands,Cook Islands
cook islands,Cook Islands
Cookislands,Cook Islands
CostaRica,Costa Rica
costa rica,Costa Rica
costarica,Costa Rica
Coted'Ivoire,Cote d'Ivoire
cote d'ivoire,Cote d'Ivoire
coted'ivoire,Cote d'Ivoire
IvoryCoast,Cote d'Ivoire
ivory coast,Cote d'Ivoire
ivorycoast,Cote d'Ivoire
croatia,Croatia
cuba,Cuba
cyprus,Cyprus
CzechRepublic,Czech Republic
czech republic,Czech Republic
czechrepublic,Czech Republic
denmark,Denmark
djibouti,Djibouti
dominica,Dominica
DominicanRepublic,Dominican Republic
dominican republic,Dominican Republic
dominicanrepublic,Dominican Republic
DominicanRep.,Dominican Republic
dominican rep.,Dominican Republic
dominicanrep.,Dominican Republic
ecuador,Ecuador
egypt,"Egypt, Arab Rep."
"Egypt,ArabRep.","Egypt, Arab Rep."
"egypt, arab rep.","Egypt, Arab Rep."
"egypt,arabrep.","Egypt, Arab Rep."
ElSalvador,El Salvador
el salvador,El Salvador
elsalvador,El Salvador
EquatorialGuinea,Equatorial Guinea
equatorial guinea,Equatorial Guinea
equatorialguinea,Equatorial Guinea
eritrea,Eritrea
estonia,Estonia
ethiopia,Ethiopia
FaroeIslands,Faeroe Islands
faroe islands,Faeroe Islands
faroeislands,Faeroe Islands
FaeroeIslands,Faeroe Islands
faeroe islands,Faeroe Islands
faeroeislands,Faeroe Islands
fiji,Fiji
finland,Finland
france,France
FrenchPolynesia,French Polynesia
french polynesia,French Polynesia
frenchpolynesia,French Polynesia
gabon,Gabon
gambia,"Gambia, The"
"Gambia,The","Gambia, The"
"gambia, the","Gambia, The"
"gambia,the","Gambia, The"
georgia,Georgia
germany,Germany
ghana,Ghana
greece,Greece
greenland,Greenland
grenada,Grenada
guam,Guam
guatemala,Guatemala
guinea,Guinea
guinea-bissau,Guinea-Bissau
GuineaBissau,Guinea-Bissau
guinea bissau,Guinea-Bissau
guineabissau,Guinea-Bissau
guyana,Guyana
haiti,Haiti
honduras,Honduras
hungary,Hungary
iceland,Iceland
india,India
indonesia,Indonesia
iran,"Iran, Islamic Rep."
"Iran,IslamicRepublicof","Iran, Islamic Rep."
"iran, islamic republic of","Iran, Islamic Rep."
"iran,islamicrepublicof","Iran, Islamic Rep."
"Iran,IslamicRepublic","Iran, Islamic Rep."
"iran, islamic republic","Iran, Islamic Rep."
"iran,islamicrepublic","Iran, Islamic Rep."
"Iran,IslamicRep.","Iran, Islamic Rep."
"iran, islamic rep.","Iran, Islamic Rep."
"iran,islamicrep.","Iran, Islamic Rep."
"Iran,IslamicRepof","Iran, Islamic Rep."
"iran, islamic rep of","Iran, Islamic Rep."
"iran,islamicrepof","Iran, Islamic Rep."
Iran(IslamicRepublicof),"Iran, Islamic Rep."
iran (islamic republic of),"Iran, Islamic Rep."
iran(islamicrepublicof),"Iran, Islamic Rep."
Iran(IslamicRep.),"Iran, Islamic Rep."
iran (islamic rep.),"Iran, Islamic Rep."
iran(islamicrep.),"Iran, Islamic Rep."
iraq,Iraq
ireland,Ireland
IsleofMan,Isle of Man
isle of man,Isle of Man
isleofman,Isle of Man
israel,Israel
italy,Italy
jamaica,Jamaica
japan,Japan
jordan,Jordan
kazakhstan,Kazakhstan
kenya,Kenya
kiribati,Kiribati
"Korea,DemocraticPeople'sRepublicof","Korea, Dem. Rep."
"korea, democratic people's republic of","Korea, Dem. Rep."
"korea,democraticpeople'srepublicof","Korea, Dem. Rep."
DemocraticPeople'sRepublicofKorea,"Korea, Dem. Rep."
democratic people's republic of korea,"Korea, Dem. Rep."
democraticpeople'srepublicofkorea,"Korea, Dem. Rep."
NorthKorea,"Korea, Dem. Rep."
north korea,"Korea, Dem. Rep."
northkorea,"Korea, Dem. Rep."
kosovo,Kosovo
"Korea,Republicof","Korea, Rep."
"korea, republic of","Korea, Rep."
"korea,republicof","Korea, Rep."
"Korea,Repof","Korea, Rep."
"korea, rep of","Korea, Rep."
"korea,repof","Korea, Rep."
RepublicofKorea,"Korea, Rep."
republic of korea,"Korea, Rep."
republicofkorea,"Korea, Rep."
"Korea,Rep.","Korea, Rep."
"korea, rep.","Korea, Rep."
"korea,rep.","Korea, Rep."
SouthKorea,"Korea, Rep."
south korea,"Korea, Rep."
southkorea,"Korea, Rep."
kuwait,Kuwait
kyrgyzstan,Kyrgyz Republic
KyrgyzRepublic,Kyrgyz Republic
kyrgyz republic,Kyrgyz Republic
kyrgyzrepublic,Kyrgyz Republic
laos,Lao PDR
LaoPDR,Lao PDR
lao pdr,Lao PDR
laopdr,Lao PDR
LaoPeople'sDemocraticRepublic,Lao PDR
lao people's democratic republic,Lao PDR
laopeople'sdemocraticrepublic,Lao PDR
LaoP.D.Republic,Lao PDR
lao p. d. republic,Lao PDR
laop.d.republic,Lao PDR
latvia,Latvia
lebanon,Lebanon
lesotho,Lesotho
liberia,Liberia
libya,Libya
LibyanArabJamahiriya,Libya
libyan arab jamahiriya,Libya
libyanarabjamahiriya,Libya
LibyanArabJam.,Libya
libyan arab jam.,Libya
libyanarabjam.,Libya
liechtenstein,Liechtenstein
lithuania,Lithuania
luxembourg,Luxembourg
TheformerYugoslavRepublicofMacedonia,"Macedonia, FYR"
the former yugoslav republic of macedonia,"Macedonia, FYR"
theformeryugoslavrepublicofmacedonia,"Macedonia, FYR"
Thef.YugoslavRep.ofMacedonia,"Macedonia, FYR"
the f. yugoslav rep. of macedonia,"Macedonia, FYR"
thef.yugoslavrep.ofmacedonia,"Macedonia, FYR"
TheFormerYugoslavRepublicofMacedonia,"Macedonia, FYR"
the former yugoslav republic  of macedonia,"Macedonia, FYR"
"Macedonia,theformerYugoslavRepublicof","Macedonia, FYR"
"macedonia, the former yugoslav republic of","Macedonia, FYR"
"macedonia,theformeryugoslavrepublicof","Macedonia, FYR"
"Macedonia,FYR","Macedonia, FYR"
"macedonia, fyr","Macedonia, FYR"
"macedonia,fyr","Macedonia, FYR"
"Macedonia,Republicof","Macedonia, FYR"
"macedonia, republic of","Macedonia, FYR"
"macedonia,republicof","Macedonia, FYR"
macedonia,"Macedonia, FYR"
madagascar,Madagascar
malawi,Malawi
malaysia,Malaysia
maldives,Maldives
mali,Mali
malta,Malta
MarshallIslands,Marshall Islands
marshall islands,Marshall Islands
marshallislands,Marshall Islands
mauritania,Mauritania
mauritius,Mauritius
mexico,Mexico
"Micronesia,FederatedStatesof","Micronesia, Fed. Sts."
"micronesia, federated states of","Micronesia, Fed. Sts."
"micronesia,federatedstatesof","Micronesia, Fed. Sts."
FederatedStatesofMicronesia,"Micronesia, Fed. Sts."
federated states of micronesia,"Micronesia, Fed. Sts."
federatedstatesofmicronesia,"Micronesia, Fed. Sts."
"Micronesia,Fed.Sts.","Micronesia, Fed. Sts."
"micronesia, fed. sts.","Micronesia, Fed. Sts."
"micronesia,fed.sts.","Micronesia, Fed. Sts."
"Micronesia,FedStatesof","Micronesia, Fed. Sts."
"micronesia, fed states of","Micronesia, Fed. Sts."
"micronesia,fedstatesof","Micronesia, Fed. Sts."
micronesia,"Micronesia, Fed. Sts."
Micronesia(FederatedStatesof),"Micronesia, Fed. Sts."
micronesia (federated states of),"Micronesia, Fed. Sts."
micronesia(federatedstatesof),"Micronesia, Fed. Sts."
moldova,Moldova
Rep.ofMoldova,Moldova
rep. of moldova,Moldova
rep.ofmoldova,Moldova
"Moldova,Republicof",Moldova
"moldova, republic of",Moldova
"moldova,republicof",Moldova
RepublicofMoldova,Moldova
republic of moldova,Moldova
republicofmoldova,Moldova
monaco,Monaco
mongolia,Mongolia
montenegro,Montenegro
morocco,Morocco
mozambique,Mozambique
myanmar,Myanmar
namibia,Namibia
nauru,Nauru
nepal,Nepal
netherlands,Netherlands
"Netherlands,the",Netherlands
"netherlands, the",Netherlands
"netherlands,the",Netherlands
NewCaledonia,New Caledonia
new caledonia,New Caledonia
newcaledonia,New Caledonia
NewZealand,New Zealand
new zealand,New Zealand
newzealand,New Zealand
nicaragua,Nicaragua
niger,Niger
nigeria,Nigeria
niue,Niue
NorthernMarianaIslands,Northern Mariana Islands
northern mariana islands,Northern Mariana Islands
northernmarianaislands,Northern Mariana Islands
norway,Norway
oman,Oman
pakistan,Pakistan
palau,Palau
"PalestinianTerritory,Occupied",West Bank and Gaza
"palestinian territory, occupied",West Bank and Gaza
"palestinianterritory,occupied",West Bank and Gaza
"Palestine,Stateof",West Bank and Gaza
"palestine, state of",West Bank and Gaza
"palestine,stateof",West Bank and Gaza
StateofPalestine,West Bank and Gaza
state of palestine,West Bank and Gaza
stateofpalestine,West Bank and Gaza
WestBankandGaza,West Bank and Gaza
west bank and gaza,West Bank and Gaza
westbankandgaza,West Bank and Gaza
panama,Panama
PapuaNewGuinea,Papua New Guinea
papua new guinea,Papua New Guinea
papuanewguinea,Papua New Guinea
PapuaN.Guinea,Papua New Guinea
papua n. guinea,Papua New Guinea
papuan.guinea,Papua New Guinea
paraguay,Paraguay
peru,Peru
philippines,Philippines
poland,Poland
portugal,Portugal
PuertoRico,Puerto Rico
puerto rico,Puerto Rico
puertorico,Puerto Rico
qatar,Qatar
reunion,Reunion
romania,Romania
RussianFederation,Russian Federation
russian federation,Russian Federation
russianfederation,Russian Federation
russia,Russian Federation
rwanda,Rwanda
SaintKittsandNevis,St. Kitts and Nevis
saint kitts and nevis,St. Kitts and Nevis
saintkittsandnevis,St. Kitts and Nevis
St.KittsandNevis,St. Kitts and Nevis
st. kitts and nevis,St. Kitts and Nevis
st.kittsandnevis,St. Kitts and Nevis
SaintLucia,St. Lucia
saint lucia,St. Lucia
saintlucia,St. Lucia
St.Lucia,St. Lucia
st. lucia,St. Lucia
st.lucia,St. Lucia
Saint-Martin(Frenchpart),St. Martin (French part)
saint-martin (french part),St. Martin (French part)
saint-martin(frenchpart),St. Martin (French part)
SaintMartin,St. Martin (French part)
saint martin,St. Martin (French part)
saintmartin,St. Martin (French part)
SaintVincentandGrenadines,St. Vincent and the Grenadines
saint vincent and grenadines,St. Vincent and the Grenadines
saintvincentandgrenadines,St. Vincent and the Grenadines
SaintVincentandtheGrenadines,St. Vincent and the Grenadines
saint vincent and the grenadines,St. Vincent and the Grenadines
saintvincentandthegrenadines,St. Vincent and the Grenadines
St.VincentandtheGrenadines,St. Vincent and the Grenadines
st. vincent and the grenadines,St. Vincent and the Grenadines
st.vincentandthegrenadines,St. Vincent and the Grenadines
StVincentandtheGrenadines,St. Vincent and the Grenadines
st vincent and the grenadines,St. Vincent and the Grenadines
stvincentandthegrenadines,St. Vincent and the Grenadines
samoa,Samoa
WesternSamoa,Samoa
western samoa,Samoa
westernsamoa,Samoa
SanMarino,San Marino
san marino,San Marino
sanmarino,San Marino
SaoTomeandPrincipe,Sao Tome and Principe
sao tome and principe,Sao Tome and Principe
saotomeandprincipe,Sao Tome and Principe
SaudiArabia,Saudi Arabia
saudi arabia,Saudi Arabia
saudiarabia,Saudi Arabia
senegal,Senegal
serbia,Serbia
RepublicofSerbia,Serbia
republic of serbia,Serbia
republicofserbia,Serbia
seychelles,Seychelles
SierraLeone,Sierra Leone
sierra leone,Sierra Leone
sierraleone,Sierra Leone
singapore,Singapore
slovakia,Slovak Republic
SlovakRepublic,Slovak Republic
slovak republic,Slovak Republic
slovakrepublic,Slovak Republic
slovenia,Slovenia
SolomonIslands,Solomon Islands
solomon islands,Solomon Islands
solomonislands,Solomon Islands
somalia,Somalia
SouthAfrica,South Africa
south africa,South Africa
southafrica,South Africa
SouthSudan,South Sudan
south sudan,South Sudan
southsudan,South Sudan
S.Sudan,South Sudan
s. sudan,South Sudan
s.sudan,South Sudan
spain,Spain
SriLanka,Sri Lanka
sri lanka,Sri Lanka
srilanka,Sri Lanka
sudan,Sudan
suriname,Suriname
swaziland,Swaziland
sweden,Sweden
switzerland,Switzerland
SyrianArabRepublic(Syria),Syrian Arab Republic
syrian arab republic (syria),Syrian Arab Republic
syrianarabrepublic(syria),Syrian Arab Republic
SyrianArabRep.,Syrian Arab Republic
syrian arab rep.,Syrian Arab Republic
syrianarabrep.,Syrian Arab Republic
syria,Syrian Arab Republic
SyrianArabRepublic,Syrian Arab Republic
